CE,[M+NH4]+,[M+H-H2O]+,[Exper_CholFrag1]+,[CholFrag2]+,[CholFrag3]+,[CholFrag4]+,[CholFrag5]+,[HiInt_CholFrag6]+,[CholFrag7]+
CE(8:0),530.493105,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(10:0),558.524405,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(12:0),586.555705,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(13:0),600.571355,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(14:0),614.587005,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(14:1),612.571355,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(15:0),628.602655,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(15:1),626.587005,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(16:0),642.618305,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(16:1),640.602655,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(17:0),656.633955,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(17:1),654.618305,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(17:2),652.602655,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(18:0),670.649605,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(18:1),668.633955,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(18:2),666.618305,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(18:3),664.602655,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(18:4),662.587005,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(19:0),684.665255,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(20:0),698.680905,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(20:1),696.665255,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(20:2),694.649605,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(20:3),692.633955,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(20:4),690.618305,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(20:5),688.602655,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(21:0),712.696555,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(22:0),726.712205,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(22:1),724.696555,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(22:2),722.680905,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(22:3),720.665255,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(22:4),718.649605,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(22:5),716.633955,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(22:6),714.618305,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(23:0),740.727855,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(24:0),754.743505,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(24:1),752.727855,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(25:0),768.759155,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(26:0),782.774805,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
score,0.45,0.45,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714
