LPE,[M+H]+,[M+H-H2O]+,[M-PE head]+,[M+H-acyl]+,[acyl_RCO]+
LPE(8:0),342.167635,324.1570703,201.148525,216.06318,127.111755
LPE(10:0),370.198935,352.1883703,229.179825,216.06318,155.143055
LPE(12:0),398.230235,380.2196703,257.211125,216.06318,183.174355
LPE(13:0),412.245885,394.2353203,271.226775,216.06318,197.190005
LPE(14:0),426.261535,408.2509703,285.242425,216.06318,211.205655
LPE(14:1),424.245885,406.2353203,283.226775,216.06318,209.190005
LPE(15:0),440.277185,422.2666203,299.258075,216.06318,225.221305
LPE(15:1),438.261535,420.2509703,297.242425,216.06318,223.205655
LPE(16:0),454.292835,436.2822703,313.273725,216.06318,239.236955
LPE(16:1),452.277185,434.2666203,311.258075,216.06318,237.221305
LPE(17:0),468.308485,450.2979203,327.289375,216.06318,253.252605
LPE(17:1),466.292835,448.2822703,325.273725,216.06318,251.236955
LPE(17:2),464.277185,446.2666203,323.258075,216.06318,249.221305
LPE(18:0),482.324135,464.3135703,341.305025,216.06318,267.268255
LPE(18:1),480.308485,462.2979203,339.289375,216.06318,265.252605
LPE(18:2),478.292835,460.2822703,337.273725,216.06318,263.236955
LPE(18:3),476.277185,458.2666203,335.258075,216.06318,261.221305
LPE(18:4),474.261535,456.2509703,333.242425,216.06318,259.205655
LPE(19:0),496.339785,478.3292203,355.320675,216.06318,281.283905
LPE(20:0),510.355435,492.3448703,369.336325,216.06318,295.299555
LPE(20:1),508.339785,490.3292203,367.320675,216.06318,293.283905
LPE(20:2),506.324135,488.3135703,365.305025,216.06318,291.268255
LPE(20:3),504.308485,486.2979203,363.289375,216.06318,289.252605
LPE(20:4),502.292835,484.2822703,361.273725,216.06318,287.236955
LPE(20:5),500.277185,482.2666203,359.258075,216.06318,285.221305
LPE(21:0),524.371085,506.3605203,383.351975,216.06318,309.315205
LPE(22:0),538.386735,520.3761703,397.367625,216.06318,323.330855
LPE(22:1),536.371085,518.3605203,395.351975,216.06318,321.315205
LPE(22:2),534.355435,516.3448703,393.336325,216.06318,319.299555
LPE(22:3),532.339785,514.3292203,391.320675,216.06318,317.283905
LPE(22:4),530.324135,512.3135703,389.305025,216.06318,315.268255
LPE(22:5),528.308485,510.2979203,387.289375,216.06318,313.252605
LPE(22:6),526.292835,508.2822703,385.273725,216.06318,311.236955
LPE(23:0),552.402385,534.3918203,411.383275,216.06318,337.346505
LPE(24:0),566.418035,548.4074703,425.398925,216.06318,351.362155
LPE(24:1),564.402385,546.3918203,423.383275,216.06318,349.346505
LPE(25:0),580.433685,562.4231203,439.414575,216.06318,365.377805
LPE(26:0),594.449335,576.4387703,453.430225,216.06318,379.393455
LPE(24:6),554.3241346,536.3135699,413.3050246,216.06318,339.2682546
scores,0.025,0.025,0.9,0.025,0.025
