MG,[M+NH4]+,[M+H-H2O]+,[R1CO]+,[R1CO-H2O]+,[R1CO-H2O+74]+
MG(8:0),236.1856,201.1485,127.1117,109.1012,183.138
MG(10:0),264.2169,229.1798,155.143,137.1325,211.1693
MG(12:0),292.2482,257.2111,183.1743,165.1638,239.2006
MG(13:0),306.2639,271.2268,197.19,179.1795,253.2163
MG(14:0),320.2795,285.2424,211.2056,193.1951,267.2319
MG(14:1),318.2639,283.2268,209.19,191.1795,265.2163
MG(15:0),334.2952,299.2581,225.2213,207.2108,281.2476
MG(15:1),332.2795,297.2424,223.2056,205.1951,279.2319
MG(16:0),348.3108,313.2737,239.2369,221.2264,295.2632
MG(16:1),346.2952,311.2581,237.2213,219.2108,293.2476
MG(17:0),362.3265,327.2894,253.2526,235.2421,309.2789
MG(17:1),360.3108,325.2737,251.2369,233.2264,307.2632
MG(17:2),358.2952,323.2581,249.2213,231.2108,305.2476
MG(18:0),376.3421,341.305,267.2682,249.2577,323.2945
MG(18:1),374.3265,339.2894,265.2526,247.2421,321.2789
MG(18:2),372.3108,337.2737,263.2369,245.2264,319.2632
MG(18:3),370.2952,335.2581,261.2213,243.2108,317.2476
MG(18:4),368.2795,333.2424,259.2056,241.1951,315.2319
MG(19:0),390.3578,355.3207,281.2839,263.2734,337.3102
MG(20:0),404.3734,369.3363,295.2995,277.289,351.3258
MG(20:1),402.3578,367.3207,293.2839,275.2734,349.3102
MG(20:2),400.3421,365.305,291.2682,273.2577,347.2945
MG(20:3),398.3265,363.2894,289.2526,271.2421,345.2789
MG(20:4),396.3108,361.2737,287.2369,269.2264,343.2632
MG(20:5),394.2952,359.2581,285.2213,267.2108,341.2476
MG(21:0),418.3891,383.352,309.3152,291.3047,365.3415
MG(22:0),432.4047,397.3676,323.3308,305.3203,379.3571
MG(22:1),430.3891,395.352,321.3152,303.3047,377.3415
MG(22:2),428.3734,393.3363,319.2995,301.289,375.3258
MG(22:3),426.3578,391.3207,317.2839,299.2734,373.3102
MG(22:4),424.3421,389.305,315.2682,297.2577,371.2945
MG(22:5),422.3265,387.2894,313.2526,295.2421,369.2789
MG(22:6),420.3108,385.2737,311.2369,293.2264,367.2632
MG(23:0),446.4204,411.3833,337.3465,319.336,393.3728
MG(24:0),460.436,425.3989,351.3621,333.3516,407.3884
MG(24:1),458.4204,423.3833,349.3465,331.336,405.3728
MG(25:0),474.4517,439.4146,365.3778,347.3673,421.4041
MG(26:0),488.4673,453.4302,379.3934,361.3829,435.4197
scores,0.3,0.3,0.3,0.05,0.05
